lithium_price_shock,delta_lithium_cost_rmb_bn,cost_of_sales_rmb_bn,gross_margin,gross_margin_change_pp,delta_cost_to_net_profit
-0.3,-8.34,652.97,0.18782,1.037,-0.2557
-0.25,-6.95,654.36,0.18609,0.864,-0.2131
-0.2,-5.56,655.75,0.18436,0.692,-0.1705
-0.15,-4.17,657.14,0.18263,0.519,-0.1278
-0.1,-2.78,658.53,0.1809,0.346,-0.0852
-0.05,-1.39,659.92,0.17917,0.173,-0.0426
0,0.0,661.31,0.17745,0,0
0.05,1.39,662.7,0.17572,-0.173,0.0426
0.1,2.78,664.09,0.17399,-0.346,0.0852
0.15,4.17,665.48,0.17226,-0.519,0.1278
0.2,5.56,666.87,0.17053,-0.692,0.1705
0.25,6.95,668.26,0.1688,-0.864,0.2131
0.3,8.34,669.65,0.16707,-1.037,0.2557
